,indonesian,acehnese,banjarese,english,madurese,ngaju,sundanese,balinese,buginese,javanese,minangkabau,toba_batak
10,"Waktu itu ke sini pesan nasi goreng dan kentang goreng, nasi gorengnya semua suka. Kentang gorengnya enak banget, dan presentasinya bagus. Keluarga bilang kopinya enak. Hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu, tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya. Harganya cukup mahal, namun karena makanannya enak semua jadi terbayarkan. Tidak perlu pikir dua kali jika mau ke tempat ini lagi.","Watee jak keuno pesan bue goreng ngen boh gantang goreng, bue goreng mandum galak. Boh gantang goreng pih that mangat, dan ie susun ngen geut that lam pingan. Keluarga khen kupi pih mangat cit. Hal yang paling geut dari inoe adalah teumpat jih yang luah dan yang na i lua jeut ta kalen pemandangan Dusun Bambu. Tapi peulayanan jih hana bagahjadi loen harus tanyeng meupadup gee tentang pesanan loen. Yum pih thath meuhai, tapi karena makanan jih mangat mandum-mandum perasaan buno jadi jih puleh. Hana perle lee meupike dua gee menye mejak keuno lom.","Pas ngitu ka sini bapasan nasi basanga wan kentang basanga, nasi basanganya barataan katuju. kentang basanganya nyaman banar wan presentasinya baik. Kaluarga bapadah kupinya nyaman. Hal nang baik banar intang sini adalah wadahnya luas wan nang di luar kawa malihat pamandangan dusun bambu, tagal pelayanannya kada lakas jadi ulun harus batakun babarapa kalian tentang pasanan ulun. Haraganya mayan larang, tagal gegara makanannya nyaman barataan jadi tabayarakan. Kada usah salang bapikir dua kali amun handak ka sini pulang. ","One time we went here and ordered the fried rice and french fries. Everyone loved the fried rice. The fries were also really good, not to mention its beautiful presentation. My family said the coffee was great. The great things about this place were how spacious it was and how it is possible to enjoy Dusun Bambu's scenery outside. However, the service was so slow that I needed to ask multiple times about my order. It was also a bit pricey, but the food was so delicious it made it all worth it in the end. You won't have to think twice to try this place out.","Bekto rua deenje mesen nasek ghuring ben kentang ghuring, nasek ghuringnga kabbhi seneng. Kentang ghuringnga nyaman sarah, ben ekenal bhegus. Taretan ngucak biddhengnga nyaman. Se paleng bhegus ediye iye rua tempatta leber ben se e loar bisa ngabes dhusun perreng. Tapi se naning tak sekat saengghe engkok tagher atanya libelien pessenanna engkok. Regghena cokop larang, tape polana kakananna nyaman kabbhi deddhi olle tebbhusen. Tak parlo mekker dukale mun terro entara ka kennengngan riya pole.","Aku tuh sala ije ji ulun cukup setia dengan kampung daun bara awal buka hung tahun 2003 mun dia sala, kuallitas panginan pas nampara te bahalap, tapi bara sasar rami semakin ka hetuh, makanan je disediakan dia kilau biasa ah, dan kadang pelayan kilau cuek tutu, itah memeteh papire panginan tapi pas dumah panginan te jadi sadingen tuntang dia manarik, tapi eka bahalap.","Sawaktos kadieu mesen nasi goreng jeung kentang goreng, nasi gorengna sadayana resep. Kentang goreng na raos pisan, jeung tampilanna sae. Kulawargi nyarios kopina ge raos. Anu sae pisan di dieu nyaeta tempat na lapang jeung anu di luar tiasa ningali pamandangan dusun bambu, ngan palayananana henteu gancang jadina abdi kudu tumaros sababaraha kali pesenan abdi. Pangaosna rada awis, ngan kusabab pituangeunna raos, sagala na jadi kabayar. Henteu kudu mikir dua kali mung hoyong ka dieu deui. ","Dugas ento mai mesen nasi goreng lan kentang goreng, nasi gorengne makejang demen. Kentang gorengne jaan pesan, lan carane nyajiang luung. Keluarga ngorahang kopine jaan. Ane paling melah dini minakadi tongosne jimbar lan sane di sisi ngidang ningalin palemahan dusun bamboo, nanging pelayananne makelo mawinan tiang mekeneh metakon mekudang-kudang indik pesenan tiang. Ajine cukup mael, nanging krana  makejang ajengane jaan dadine ten kenapi. Ten perlu makeneh dua kali yening kal meriki. ","Riolo ro mai wettu laoki okkoe anroangge, massuroanggi wette nanre sibawa wette lame-lame, napoji maneng taue wette nanre na. Makko topa wette lame-lamena maka kanja. Makkadai sumpuloloe marasa kopi na. Iyaro kaminang makanja okkoe nasaba maloang i anroanna na mabello lairita dusun bambu, de mi na sitta pole yassuroangnge iyanaro passabari mallao lisu ki mattunangngi purae yassuroang. Masoli soli topa ellinna, nala deceng malunra' moi anre-anrena jaji sicoco' mo isedding. De' to na parellu mappikkiri bekka dua ko meloki lisu paemeng lao okkoe.","Wektu kuwi mara mrene pesen sega goreng karo kentang goreng, sega gorenge kabehane seneng, Kentang gorenge enak tenan, lan dhelokane apik. Keluarga ngomong yen kopine enak. Babagan paling apik nang kene yaiku panggonane jembar lan sek nang njaba iso ndhelok pemandangan dusun pring, nanging pelayanane ora cepet dadi aku kudu takon kaping pirang-pirang babagan pesenanku. Regane cukup larang, nanging amarga panganane enak kabeh dadi kabayar. Ora kudhu mikir ping pindho yen pengen mara panggonan iki maneh.","Wakatu tu ka siko pasan nasi goreng jo kantang koreng, nasi gorengnyo sadolah suko. Kantang gorengnyo lamak bana, dan presentasinyo rancak. Kecek keluarga kopinyo lamak. Hal nan sangat rancak disiko adalah tampeknyo lueh dan yang di lua bisa caliak pemandangan dusun bambu, tapi pelayanannyo indak capek sehinggo wak harus batanyo beberapa kali tentang pasanan wak. Haragonyo cukuik maha, tapi karano makanannyo lamak sadolahnyo jadi tabayialah. Indak paralu pikia duo kali kok nio ka tampek ko liak.","Tingki ro tuson au manuhor nasi goreng dohot kantang goreng, nasi goreng na sude marlomo ni roha. Kentang goreng na tabo hian, jala patoranghon denggan. Sisolhot mandok kopi na tabo. Na gabe na uli di son ima ingananna na bidang jala na di luar boi dibereng panatapan huta bambu, alai panghobasionna na dang  hatop gabe ikkon ahu sukkun piga-piga hali taringot tu na hu tuhor i. Argana lumayan arga, alai ala tabo do sipanganon na gabe lese do i sude. Dang pola porlu marpikkir dua hali molo naeng ro musek tu inganan on."
11,"Nasi goreng thailand di harga 35 ribu, polos, hanya ada suir ayam sedikit. Seafoodnya tidak ada.","Bu gureng thailand yum 35 ribee, polos, cit na suir ayam bacut. Seafoodjih hana.","Nasi goreng thailand di haraga 35 ribu, polos, babaya ada suir ayam saikit. Seafoodnya kadida.","The 35-thousand Thailand-style fried rice is bland, with only shredded chicken sparsely sprinkled in. And there's no seafood.","Nase' ghuring thailand e regghe 35 ebu, polos, pera' bede sebbiddeh ajem sakunni'. Seafood ta tadek.","Bari sanga thailand hong rega telu puluh lime ribu, budas, baya tege suir manuk isut. Seafood nah jatunti.","Sangu goreng thailand pangarosna ti 35 rebu, polos ngan aya suir hayam saalit. Seafoodna teu ayaan","Nasi goreng thailang ring harga 35 tali, polos, ada be siap suir gen abedik. Seafoodne sing ada.","Nanre wette thailand ellinna 35 sebbu, polos, engkami bawang cebbi' manu' na cedde'. Seafood na deggaga.","Sega goreng thailand ning rega 35 ewu, polos, mung ana suwir pithik sethithik. Panganan laute ora ana.","Nasi goreng thailand di hargo 35 ribu, polos, hanyo ado suir ayam saketek. Seafoodnyo indak ado.","Indahan goreng thailand si arga 35 ribu, bulus, holan adong manukna otik. Seafood na dangadong."
12,"Seperti yang kita tahu, brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat. Toko amanda mengkreasikan brownies dengan memasaknya secara mengukus. Brownies kukus ini sama sekali nggak banget. Teksturnya malah sama dengan bolu biasa. Jadi menurut saya, ini bukan brownies.","Lagee nyang ka tateupeue, kue brownies nyang asli dari Amerika nyankeuh kue banteut wareuna coklat.  Toko Amanda gepeungui brownies deungon cara geuseuop. Brownies nyang teuseuop nyan hana pah sagai, sama cit lagee bolu biasa. Jadi meunyo bak lon peugah, nyan kon brownies.","Nang kaya kita tahu, brownies nang asli mulai amerika adalah wadai bantat nang dasar bawarna cokelat. Toko amanda mengkreasiakan brownies wan mamasaknya bakukus. Brownies kukus ngini sama sekali kada banar. Teksturnya malahan sama nang kaya bolu biasa. Jadi manurut ulun, ngini lain brownies. ","As we know, the original American brownies are baked cake that indeed has a brown color. Toko Amanda tried to be creative and made brownies by steaming them. And I have to say, these steamed brownies didn't do it for me. The texture was just the same as a regular sponge cake. So to me, these aren't brownies.","Padena se kita tao, brownies se asli deri amerika iye rua jejen bantat se jhet bernana cokelat. Toko amanda mabentuk brownies bik amassa'na e tuap. Brownies tuap riya pade sakale enje' sarah. Bentukna mala pade bik bolu biasa. Deddhi cakna engkok, riya benni brownies.","Kilau je itah katawan, brownies je asli bara amerika te wadai bantat puna berwarna coklat. Toko amanda mengkreasikan brownies dengan cara memasak ah bakukus. Brownies kukus tuh sama sinde dia tutu. Tekstur ampi sama ih kilau bolu biasa. Jadi kuangku, jituh beken brownies.","Sakumaha nu urang terang, brownies nu asli ti Amerika nyaeta kueh bantat anu warnana coklat. Toko Amanda nyiptakeun brownies ku cara ngajieunna ngukus. Brownies kukus ieu henteu sae pisan. Malah teksturna sarua jeung bolu biasa. Janten dina pamanggih kuring, ieu sanes brownies.","Sekadi ane iraga tawang, brownies ane asli uli amerika sekadi punika jaja bantat ane mula warnane cokelat. Toko amanda ngae kreasi brownies ajak masakne ngukus. Brownies kukus ne tusing banget. Teksturne malah patuh ajak bolu biasa. Jadi menurut tiyang, ne tusing brownies. ","Pada iya yisseng manengnge, brownis iya aslinna pole amerika iyanaritu beppa bantat iya warnana masikola'. Toko amanda nakkibuai i brownis e na nasui nappa napellai. Brownis pellae na pada ko deggaga tongeng. Tadangenna padami sedding yako bolu biasa mi. Jaji ko iya', iyewe tennia brownis.","Kaya sing awakdewe eruh, brownies sing asli saka amerika iku roti bantat sing pancene wernane cokelat. Toko amanda ngreasikne browies karo masake carane dikukus. Brownies kukus iki jan blas ora banget. Teksture malah podo karo bolu biasa. Dadi menurutku, iki uduk brownies.","Saroman yang wak tau, brownies nan asli dari amerika tu kue bantat yang memang bawarna cokelat. Toko amanda mengkreasian brownies jo mamasaknyo sacaro mangukuih. Brownies kukuih ko samo sakali ndak masuak. Teksturnyo malah samo jo bolu biaso. Jadi manuruik wak, iko ndak brownies.","Songon na ta boto, brownis na asli sian Amerika ima kue bantat na memang marwarna cokelat. Toko Amanda mambaen brownies dohot cara mangkukus. Brownis nadikukus on asli dang pass. Tekksturna gabe songon bolu nasomal. Jadi pandapothu, on dang brownies."
13,"Jika datang ke restoran ini sangat cocok pada sore dan malam hari, membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan","Meunyo jak bak restoran nyoe that pah watee seupot atawa malam, ba pasangan makan malam romantis ngon peumandangan nyang lagak","Mun datang ka risturan ini liwar cucuk pas sore wan malam hari, mambawa pasangan gasan manikmati makan malam nang rumantis wan pamandangan nang liwar mambari kapingin.","If you want to visit this restaurant, be sure to go on afternoon or night time, bring your spouse to enjoy romantic dinner and amazing scenery.","Mun deteng ka restoran riya cocok sarah resore ben lemmalem, ngibe pasangan ghebey arassae ngakan malem se romantis ben pangabesen se cek leburre","Amun dumah kan restoran tuh pas bujur halemei dengan hamalem, mimbit pasangan mangat tau mengkeme kamangat kuman hamalem ji romantis dengan tempayah ji mias kehalap ah","Upami sumping ka restoran ieu cocog pisan dina sonten atawa wengi dinten, nyandak pasangan kanggo nganikmatan tuang wengi nu romantis sareng pamandangan nu menakjubkeun pisan","Yening ngerauhin restoran puniki cocok sajan pas sanja lan petengne, ngajak tunangane nikmatin ajengan wengi sane romantis lan pemandangan sane mankjubkan sajan.","ko laoki okko restorang e, sicoco' ladde ko esso na wenni, bawaki rangengta pacobai anre wenni sipa'dua na pakkita mata makessing","Yen teka marang restoran iki cocok banget pas sore lan mbengi, nggawa pasangan kanggo nikmati mangan mbengi sing romantis lan pemandangan sing nakjubake banget","Jikok tibo ka restoran ko sangaik cocok pas sore dan malam ari, mambaok pasangan untuak manikmati makan malam nan romantis dan pamandangan nan sangaik manakjubkan","Molo ro tuparmanganan on pas hian di botari dohot borngin ni ari, mamboan hallet laho mangatimi mangan borngin na uli dohot panatapan na mansai bagak."
14,"Pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan, salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok, jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang.","Pengalaman nyang phon cukup meukenong seubab tekeujot bacut rupajih watee lheuh ta peusan makanan, salah sidroe awak kereuja geujok on pisang bak meja lon, kon pingan atawa canca. jadi meunyo jak pajoh bu inoe beusiap untuk pajoh bu ngon jaroe karna akan tarasa sensasi nyang unik peue lom meunyo tapajoh ngon on pisang.","pangalaman sakali cukup mangesankan gara-gara cukup takajut sakalinya imbah tuntung makan mamesan makanan, saiukung staf mambariakan daun pisang ka meja ulun lain piring atawa sindok, jadi makan di sini basiap makan pakai tangan karena kita handak marasaakan sensasi nang unik ditambah alas makannya daun pisang","The first impression was memorable because after ordering I was surprised to see one of the staff bringing out banana leaves to our tables instead of plates or spoons. So if you wanna eat here, get ready to experience the unique sensation of eating food on top of banana leaves using your bare hands ","Pengalaman dekkadekna cokop mengesankan polana cokop takerjhet. ternyata marena mesen kakanan, sala settong staf merrik deuna gheddheng ka mejana engkok benni pereng otabe sendok, deddhi mun kakanan e dinnak yap siap ngakan anggui tanang polana kita bhekal arassaagi sensasi se unik e tambe lamak kakananna deuna gheddheng.","Pengalaman haru pertama sukup mengesankan awi sukup tekejet sepuna limbah selesai memeteh penginan, ije biti staf menengak dawen pisang kan mejaku beken piring atau sendok, jadi amun kuman hetuh besiap ih akan kuman hapan lenge awi itah akan mengkeme sensasi unik dahang alas kuman te dawen pisang.","Pangalaman mimiti cekap ngesankeun kusabab cekap reuwas tetela saentos salse mesen tuangeun, salah sahiji staf masihan daun cau ka meja kuring sanes piring atawa sendok, janten upami tuang di dieu siap-siap kanggo tuang ngagunakeun panangan kusabab arurang bakal ngarasakeun sensasi nu unik ditambih alas tuangna daun cau.","Pengalaman pertama cukup mengesankan krana cukup kaget ternyata disubane suud mesen ajengan, salah satu staf ngemaang don biu ka meja tiyang tusing piring utawi sendok, dadine yen ngajeng dini bersiap gen untuk ngajeng nganggon lima krana iraga lakar ngasanin sensasi ane unik buina alas ngajengne don biu. ","Pangalamang pammulangnge mapparingngerrang sa nasaba' maselengnga' puraku massuroang anre-anre, bara siddinna pajjama e mabbere daung loka okko mejakku tennia penne yaregga sinru', jaji narekko manreki' okko e massadia ki' manre pake lima nasaba' maeloki' pirasai aga ga silaingeng laitambah i pallapi' anrewe pake daung loka.","Pengalaman kapisan cukup ngesanke merga cukup kaget tibake bar mari pesen panganan, salah siji staf menehi godong gedang ning mejaku uduk piring utawa sendok, dadi lak mangan ning kene siapo dingge mangan nggawe tangan merga awakdewe bakale ngrasakne sensasi sing unik ditambah alas mangane godong gedang.","Pangalaman patamo cukuik mangesanan dek cukuik takajuik ruponyo siap salasai mamasan makanan, salah ciek staf maagiah daun pisang ka meja awak bukan piriang atau sendok, jadi jiko makan di siko basiaplah untuak makan pakai tangan dek awak ka marasoan sensasi nan unik ditambah aleh makanannyo daun pisang.","Pengalaman parjolo songon na mengesanhon alana songon na tarsonggot hape molo dung sae di pangido sipanganon, sada sian parhobas mangalehon bulung ni pisang tu mejaku dang pinggan manang sonduk, alani i molo dison mangarade ma laho mangan mamakke tangan alana hita naeng mangarasahon sensaso na unik di tabba muse alas ni sipanganonna bulung ni pisang."
15,Salah satu area kuliner yang cukup menggugah selera. Namun jadi bingung juga milihnya. Akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu-lagu nostalgia barat. Cukup direkomendasikan.,Salah saboh area peunajoh nyang peuget tanyoe ro ie babah. Tapi mumang cit bak tapileh. Keuneulheuh lon pileh krak boh manok ngon mie kocok sarat deungo hiburan musik ngon lagu-lagu barat jameun. Cukop lon sarankan.,Salah sauting area kuliner nang mayan manggugah salira. Tagal jadi bingung jua mamilhnya. Akhirnya ulun cuba karak intalu wan mie kocok sambil mandagariakan patunjukan musik wan laggu-lagu barat bahari. Mayan disurungakan,"One of the most delicious culinary areas around. However, that just makes it hard to choose what to eat. In the end, I got myself a kerak telor and mie kocok while waiting for the music show with nostalgic western songs. Pretty recommended",Salah settong area kuliner se cokop materro. Tape deddhi posang kiya milena. Akhirre engkok nyoba kerak tellor ben mie kocok sambi ngidingngaghi pertunjukan musik bik lagu-lagu nostalgia bere'. Cokop esarannaghi.,Eka ije daerah kuliner je sukup menggugah belai. Baya jadi bingung kea mintih ah. Akhir ah aku nyoba kerak tanteluh tuntang mie kocok sambil mehining pertunjukan musik lagu lagu nostalgia barat. Sukup direkomendasikan.,Salah sahiji area kuliner nu cekap ngagugah salera. Mung janten bingung oge milihna. Ahirna abdi cobi kerak telor sareng mie kocok sabari ngadangukeun pertunjukan musik ku tembang-tembang nostalgia barat. Cekap disarankeun.,Silih sinunggil wewidangan kuliner sane cukup ngedotin pesan. nanging dados bingung masih milihne. Akhirne tiang nyobak kerak taluh lan mie kocok sambilang ningehin pertunjukkan musik sareng gending-gending nostalgia kauh. Cukup ka rekomensiang,Sala siddi anroang manre mappenre' cinnae. Tapi malasa ulu ki pitte i. Mancajiwi lau pirasai kerak tello sibawa mie gottang na na tamattangang to marengkalinga akkatitang musi' iya macculeiwi elong kelong bara' riolo. Makessing siseng yajjulluang.,Salah sijine area kuliner sing cukup ngunggah salira. Nanging dadi bingung uga milihe. Akhire aku njajal kerak telur lan mi kocok karo ngrungokake pertunjukan musik kanthi lagu-lagu nostalgia kulon. Cukup direkomendasikake.,Salah satu area kuliner yang cukuik manggugah salero. Namun jadi binguang juo miliahnyo. Akhianyo wak cubo karak talua dan mie kocok sambia mandangaan patunjukkan musik jo lagu-lagu nostalgia barat. Cukuik direkomendasian.,sada sian inganan kuliner na lumayan manggoda. alai gabe bingung iba tong mamillit. ujungna hu coba ma korak ni tolor  dohot mi kocok sambil mambege lagu barat na jolo na di patupa. lumayan sipabotohonon.
16,Untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang.,Keuneuk beupasti ibu jeuet neujak bak kanto cab bank mandiri nyan bak uroe ngon jeuem kereuja untuk tuka peng.,Gasan mamastiakannya ibu kawa datang ka kantur cab bank mandiri ngitu pas hari wan jam bagawi gasan mahurupakan duit.,"To clarify, you may come to the corresponding branch office of Mandiri Bank during working hours in workdays to make a cash exchange.",Ghebey mamasteaghi ibu bisa deteng ka kantor cab bank mandiri rua e are ben jem lako ghebey maorop pesse.,Akan memasti te indu tau dumah kan kantor cab bank mandiri tersewut pada andau tuntang jam begawi akan mahurup duit.,Kanggo mastikeun ibu tiasa sumping ka kantor cab bank mandiri nu kasebat dina dinten sareng waktos damel kanggo nukeurkeun artos.,Anggen mastiang ibu dados rauh ka kantor cabang bank mandiri punika ring dina lan jam mekarya untuk penukaran jinah.,Ko meloki pannessai Indo' laoki' okko kantoro' cabang bank mandiri e ro ri esso sibawa tette' ajjamang e massele dui.,Kanggo njamin ibu isa teka marang kantor cab bank mandiri kasebut ing dina lan jam kerja kanggo ijol dhuwit.,Untuak mamastian ibu bisa tibo ka kantua cab bank mandiri tu pas hari dan jam karajo untuak panukaran pitih.,Laho mamastihon sa inang boi ro tu kantor cabang bank mandiri na i ditikki ari dohot jam karejo laho manukkar hepeng.
17,"Naik kereta jayabaya malang - jakarta berhenti di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka","Ek kereta Jayabaya Malang-Jakarta piyoh di Gubeng, Tiket 35 (lhee ploh limeng) ribee tamah asuransi nam (6) ribee lewat traveloka","Naik kereta jayabaya malang - jakarta basinggah di gubeng, tiket 35 ribu plus asuransi 6 ribu via traveloka","Rode on the Jayabaya train from Malang to Jakarta, stopped in Gubeng, the ticket costed 35 thousand plus 6k insurance via Traveloka.","Numpa' seppur jayabaya malang-jakarta ambu e gubeng, tiket 35 ebu bik asuransi 6 ebu via traveloka","Mendai kareta jayabaya malang - jakarta tende hong gubeng, tiket telu puluh lime ribu dahang asuransi jahawen ribu bara traveloka","Numpak kareta jayabaya malang - jakarta eureun di gubeng, tiket 35 rebu ditambih asuransi 6 rebu liwat traveloka","Menek kereta jayabaya malang-jakarta mareren di gubeng, tiket 35 ribu ajak asuransi 6 ribu via traveloka","menre' kareta jayabaya malang- jakarta leppang okko gubeng, tike'na 35 sebbu lengka'ni asuransinna 6 sebbu pake traveloka","Numpak sepur jayabaya malang - jakarta mandek ing gubeng, tiket 35 ewu ditambah asuransi 6 ewu lewat traveloka","Naiak kareta jayabaya malang - jakarta baranti di gubeng, tiker 35 ribu plus asuransi 6 ribu via traveloka","Markareta Jayabaya malang tu Jakarta maradi di Gubeng, Tiket 35 ribu dohot asuransi 6 ribu sian Traveloka."
18,Dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada 2018.,DPR geubi apresiasi lam hai  ikot seureuta ureueng inong bak pilkada 2018.,Dpr mambari apresiasi gasan kaumpatan binian pada pilkada 2018,DPR shows appreciation towards women's participation in the 2018 Regional Elections,Dpr aberri' apresiasi ghebey nuro'na bebini' e pilkada 2018.,Dpr menengak apresiasi akan uluh bawi ji umba huang pilkada  due ribu hanya welas (2018),DPR masihan pangajen kana partisipasi istri dina Pilkada 2018.,Dpr ngemaang apresiasi indik keikutsertaan anak luh dugas pilkada 2018. ,Dpr mabbereng apresiasi nasaba' macciona makkunrai e ri pilkada 2018,Dpr menehi apresiasi saka melune wong wedok ning pilkada 2018.,Dpr maagiah apresiasi dek ikuiksarato padusi pado pilkada 2018.,DPR mangalean apresiasi alani parsidohot do parompuan di Pilkada 2018.
19,"Saya datang untuk makan malam bersama keluarga. Ini pertama kali saya ke sini. Kondisi tidak terlalu ramai. Untuk interior, agak kotor menurut saya. Adanya remah-remah bekas makanan di lantai dan meja, sepertinya tidak dibersihkan secara sempurna. Untuk rasa makanan, standar, tidak terlalu istimewa.","Lon trok pajoh bu malam ngon keuluarga. Nyoe phon kali lon keunoe. Kondisi hana that rame. Keu Interior, agak kuto meunurot lon. Na khot-khot makanan bak aleue ngon meja, bak lagee hana get jipeugleh. Keu rasa makanan, standar, hana istimewa that.","Ulun datang gasan makan malam lawan kaluwarga. Ini pamulaan ulun ka sini. Kondisi kada talalu rami. Gasan interior, pina rigat manurut ulun. Adanya rimah-rimah bakas makanan di lantai wan meja, pinanya kada dibarasihakan buju2 bujur. Gasan rasa makanan, standar, kada talalu istimewa.","I came to have dinner with my fam. It was our first time coming here. It wasn't too crowded. For the interior. it was rather filthy in my opinion. There were leftover morsles on the floor and table, seemed like it wasn't cleaned properly. For the food flavour, it was standard. Nothing to write home about.","Engkok deteng ghebey ngakan malem bik keluarga. Ariya pertama kale engkok ka diye. Kabede'en tak pate rammi. Ghebey interior, bek keddhe' cakna engkok. Bedena remah-remah lampatta kakanan e lantai ben meja, masena ta ebherse'e secara samporna. Ghebey rassa kakanan, standar, tak pate istimewa.","Aku dumah akan kuman hamalem hayak keluarga. Jituh haru sinde kali aku kan hetuh. Kondisi diak lalau ramie. Akan interior, ampi diak barasih kuangku. Tege rutik karihak awan penginan hong laseh dengan meja, ampi te diak merasih sampai behimat. Akan angat penginan, biasa, diak lalau istimewa.","Abdi sumping kanggo tuang wengi sareng kulawargi. Ieu kalli kahiji abdi ka dieu. Kondisi teu kitu rame. Kanggo interior, rada kotor nyumutkeun abdi. Ku aya remah-remah sesa tuangeun dina ubin sareng meja, sigana teu diberesihkeun sacara sampurna. Kanggo rasa tuangeun, standar, teu pati istimewa.","Tiyang teka untuk ngajeng peteng ajak keluarga. Ne ping pertama tiyang main. Kondisi ten bes rame. Untuk interior, agak daki menurut tiyang. Adane remah-remah lad ajengan ring lantai lan meja, asane ten kedasine kanti sempurna. Untuk rasa ajengan, standar, ten bes istimewa.","engkaka manre wenni sibawa sumpu loloku. bunge' engkaku lao okkoe. detto na maroa ladde'. ko warang paranna, macarepa usedding. mega aroppo bekas pakkanreang okko tembo' sibawa mejang e. pada ko de' na paccingi makessing i. ko rasana, standar, de'na makanja' ladde'","Aku teka kanggo mangan mbengi bareng kaluwarga. Iki kapisan aku marang rene. Kondisine ora patia rame. Kanggo interior, agak reged miturutku. Anane remukan bekas panganan ing jogan lan meja, kayane ora diresiki kanthi sampurna. Kanggo rasa panganan, standar, ora patia istimewa.","Awak tibo untuak makan malam jo kaluarga. Iko patamo kali awak tibo ka siko. Kondisi indak talampau rami. Untuak interior, agak kumuah manuruik wak. Adonyo rimah-rimah bakeh makanan di lantai dan meja, bantuaknyo indak dibarasiahan sacaro sampurna. Untuak raso makanan, standar, indak terlalu istimewa.","Au ro dang na lai mangan borngin rap dohot keluarga. On do pe parjolo sahali au ro tu son. Dang pola rame. Molo bagas na, songon na dorun do menuruthu. Adong akka sisa ni sipanganon di lantai dohot di meja, hera na so dipaias dohot denggan. Molo dai ni sipanganon, somal hian , dang pola sudung."
20,"Tolong bilang ke anggota dewan jangan lupa revisi perppu ormas dan ingatkan janjinya kalau perppu tidak direvisi, berbagai elemen masyarakat akan mengeluarkan sikap.","Tulong peugah bak anggota dewan bek tuwo revisi perppu ormas, peuingat janjjih meunyo perppu hana jirevisi. Meubagoe elemen masyarakat akan geupeuteubiet sikap.","Tulung bapadah ka anggota dewan jangan kada ingat revisi perppu ormas wan ingatiakan janjinya amun perppu kada direvisi, bamacam elemen masyarakat bakalan mangaluarakan sikap","Please remind the council not to forget revising the Perppu for Mass Organisations and if they don't revise it, then several factions from the public will not take this lying down.","Tolong kabele ka anggota dewan jhek loppa pateppa' perppu ormas ben paenga' jenjina mun perppu tak epateppa', macemma masyarakat akan makaluar sikap.","Duhup sanan kan anggota dewan ela kelapean revisi perpu ormas dengan mempingat kan janj te amun perpu diak revisi, are macam elemen masyarakat akan mempelua sikap.",Punteun saurkeun ka anggota dewan tong hilap revisi perppu ormas sareung emutkeun jangjina upami perppu teu direvisi. Sababaraha elemen masarakat bade ngaluarkeun sikeup.,"Tulung orahang ka anggota dewan eda engsap revisi perppu ormas lan ingetang janjine yen perppu sing marevisi, mekudang elemen parajana lakar mesuang sikap. ","Tabe' tapodangngi lao okko anggota dewang e aja nallupai revisi perppu ormas sibawa peringngerrangi jancinna narekko perppu e de narevisi i, Sininna taue pole masyaraka' e meloi mappassu gau'.","Tulung ngomong marang anggota dewan aja lali revisi perppu ormas lan elingna janjine yen perppu ora direvisi, aneka werna elemen masyarakat bakal ngetokake sikap.","Tolong kecekan ka anggota dewan jan lupo revisi perppu ormans dan ingekan janjinyo kalau perppu indak direvisi, babagai elemen masyarakat akan mangaluaan sikap.","Urupi jo mandok tu anggota dewan unang lupa paturehon perppu ormas jala paingot jajji nai molo perppu dang di pature, marragam elemen masarakat naeng pakaluarhon pambahenan. "
21,Keripik singkong itu makanan ringan terenak dan tepat buat menemani waktu tugas,Keuripet boh bi nyoe makanan paleng mangat pah watee peugot tugas,karipik jawaw itu makanan ringan paling nyaman wan cucuk gasan mangawani waktu tugas,Cassava chips are the most delicious and appropriate snack to accompany me during assignment time.,Gorongnga sabreng rua ghukghengghuk se paleng nyaman ben teppak ghebey ngancae bekto nugas,Keripik jawau te penginan mehian mangat tutu dengan pas akan kawal wayah tugas,Karipik sampeu eta leeutan alit pangraosna sareng pas kanggo ngarencangan waktos nugas,Keripik sela nike ajengan sane ingan tur jaen lan cocok kaanggen nimpalin pas galah nugas,karoppo' lame aju e ga'de paning malunra' na si coco' ipasibawang jama tugas e,Kripik budin kuwi camilan paling enak lan pas kanggo ngancani wektu nugas,Karipiak singkong itu makanan ringan paliang lamak dan pas untuak mangawanan waktu tugas,Karipik gadong i karupuk nauttabo dohot pas laho maddongani tikki karejo.
